tc_name,index,transaction_type,roll_date,effective_at,transaction_date,original_amount_cents,exp_line_item_type,allocation,stmt_to_validate,product_type,fee_balance,am_int_cents,int_bal_cents,principal_balance,total_balance,available_credit_cents,deferred_interest_balance_cents
PP2656 - Verify the processing in Statements of Credit offset for fee balance bucket in an Installment account,411,rollTimeForward,12,,,,,,,,,,,,,,
PP2656 - Verify the processing in Statements of Credit offset for fee balance bucket in an Installment account,412,validateLineItem,,,,-20000,PAYMENT_REVERSAL_FEE,,,,,,,,,,
PP2656 - Verify the processing in Statements of Credit offset for fee balance bucket in an Installment account,413,getStatementID,,,,,,,1,,,,,,,,
PP2656 - Verify the processing in Statements of Credit offset for fee balance bucket in an Installment account,414,validateStatement,,,,,,,,installment,20000,0,0,170000 ,190000,130000 ,0
PP2657 - Verify the processing in statements of Credit offset for principal balance bucket in a Multi advance account,415,rollTimeForward,6,,,,,,,,,,,,,,
PP2657 - Verify the processing in statements of Credit offset for principal balance bucket in a Multi advance account,416,getStatementID,,,,,,,0,,,,,,,,
PP2657 - Verify the processing in statements of Credit offset for principal balance bucket in a Multi advance account,417,validateStatement,,,,,,,,Multi_Adv,0,0,0,1000000,1000958,4000000 ,958
PP2657 - Verify the processing in statements of Credit offset for principal balance bucket in a Multi advance account,418,creditOffset,,0,,100000,,DEFERRED_INTEREST,,,,,,,,,
PP2657 - Verify the processing in statements of Credit offset for principal balance bucket in a Multi advance account,419,validateLineItem,,,,-100000,CREDIT_OFFSET_DEFERRED_INTEREST,,,,,,,,,,
PP2657 - Verify the processing in statements of Credit offset for principal balance bucket in a Multi advance account,420,rollTimeForward,12,,,,,,,,,,,,,,
PP2657 - Verify the processing in statements of Credit offset for principal balance bucket in a Multi advance account,421,getStatementID,,,,,,,1,,,,,,,,
PP2657 - Verify the processing in statements of Credit offset for principal balance bucket in a Multi advance account,422,validateStatement,,,,,,,,Multi_Adv,0,0,0,1000000,1101916,4000000 ,101916 
PP2658 - Verify the processing of Credit offset for principal balance bucket in a Multi advance account,423,rollTimeForward,6,,,,,,,,,,,,,,
PP2658 - Verify the processing of Credit offset for principal balance bucket in a Multi advance account,424,validateAccountSummary,,,,,,,,Multi_Adv,0,0,0,1000000,1000958,1000000 ,958
PP2658 - Verify the processing of Credit offset for principal balance bucket in a Multi advance account,425,creditOffset,,0,,100000,,DEFERRED_INTEREST,,,,,,,,,
PP2658 - Verify the processing of Credit offset for principal balance bucket in a Multi advance account,426,validateLineItem,,,,-100000,CREDIT_OFFSET_DEFERRED_INTEREST,,,,,,,,,,
PP2658 - Verify the processing of Credit offset for principal balance bucket in a Multi advance account,427,rollTimeForward,6,,,,,,,,,,,,,,
PP2658 - Verify the processing of Credit offset for principal balance bucket in a Multi advance account,428,validateAccountSummary,,,,,,,,Multi_Adv,0,0,0,1000000,1101916,4000000 ,1916
PP2659 - Verify the processing in statements of Debit offset for principal balance bucket in a Multi advance account,429,rollTimeForward,6,,,,,,,,,,,,,,
PP2659 - Verify the processing in statements of Debit offset for principal balance bucket in a Multi advance account,430,getStatementID,,,,,,,0,,,,,,,,
PP2659 - Verify the processing in statements of Debit offset for principal balance bucket in a Multi advance account,431,validateStatement,,,,,,,,Multi_Adv,0,0,0,1000000,1000958,4000000 ,958
PP2659 - Verify the processing in statements of Debit offset for principal balance bucket in a Multi advance account,432,debitOffset,,0,,200,,DEFERRED_INTEREST,,,,,,,,,
PP2659 - Verify the processing in statements of Debit offset for principal balance bucket in a Multi advance account,433,validateLineItem,,,,200,DEBIT_OFFSET,,,,,,,,,,
PP2659 - Verify the processing in statements of Debit offset for principal balance bucket in a Multi advance account,434,rollTimeForward,12,,,,,,,,,,,,,,
PP2659 - Verify the processing in statements of Debit offset for principal balance bucket in a Multi advance account,435,getStatementID,,,,,,,1,,,,,,,,
PP2659 - Verify the processing in statements of Debit offset for principal balance bucket in a Multi advance account,436,validateStatement,,,,,,,,Multi_Adv,0,0,0,1000000,1001716,4000000 ,1716
PP2660 - Verify the processing of Debit offset for principal balance bucket in a Multi advance account,437,rollTimeForward,6,,,,,,,,,,,,,,
PP2660 - Verify the processing of Debit offset for principal balance bucket in a Multi advance account,438,validateAccountSummary,,,,,,,,Multi_Adv,0,0,0,1000000,1000958,1000000 ,958
PP2660 - Verify the processing of Debit offset for principal balance bucket in a Multi advance account,439,debitOffset,,0,,200,,DEFERRED_INTEREST,,,,,,,,,
PP2660 - Verify the processing of Debit offset for principal balance bucket in a Multi advance account,440,validateLineItem,,,,200,DEBIT_OFFSET,,,,,,,,,,
PP2660 - Verify the processing of Debit offset for principal balance bucket in a Multi advance account,441,rollTimeForward,12,,,,,,,,,,,,,,
PP2660 - Verify the processing of Debit offset for principal balance bucket in a Multi advance account,442,validateAccountSummary,,,,,,,,Multi_Adv,0,0,0,1000000,1001716,4000000 ,1716
